Date : 2022-10-19 15:19:06
Directory : /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin
Total : 1721 files,  247842 codes, 83227 comments, 47887 blanks, all 378956 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/backlash_compensation_screen.h                                     | C++      |          8 |         20 |          5 |         33 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/base_numeric_adjustment_screen.cpp                                 | C++      |        314 |         27 |         51 |        392 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/base_numeric_adjustment_screen.h                                   | C++      |         56 |         20 |         12 |         88 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/base_screen.cpp                                                    | C++      |         53 |         20 |         15 |         88 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/base_screen.h                                                      | C++      |         15 |         20 |          9 |         44 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/bed_mesh_base.cpp                                                  | C++      |        158 |         35 |         32 |        225 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/bed_mesh_base.h                                                    | C++      |         20 |         19 |          8 |         47 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/bed_mesh_edit_screen.cpp                                           | C++      |        150 |         22 |         29 |        201 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/bed_mesh_edit_screen.h                                             | C++      |         26 |         19 |          6 |         51 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/bed_mesh_view_screen.cpp                                           | C++      |        122 |         19 |         25 |        166 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/bed_mesh_view_screen.h                                             | C++      |         22 |         19 |          7 |         48 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/boot_screen.cpp                                                    | C++      |         80 |         29 |         22 |        131 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/boot_screen.h                                                      | C++      |         10 |         21 |          5 |         36 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/case_light_screen.cpp                                              | C++      |         34 |         19 |          9 |         62 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/case_light_screen.h                                                | C++      |          8 |         19 |          5 |         32 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/change_filament_screen.cpp                                         | C++      |        270 |         24 |         38 |        332 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/change_filament_screen.h                                           | C++      |         26 |         20 |          6 |         52 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/confirm_abort_print_dialog_box.cpp                                 | C++      |         24 |         20 |          9 |         53 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/confirm_abort_print_dialog_box.h                                   | C++      |          8 |         20 |          5 |         33 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/confirm_auto_calibration_dialog_box.cpp                            | C++      |         20 |         20 |          8 |         48 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/confirm_auto_calibration_dialog_box.h                              | C++      |          8 |         20 |          5 |         33 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/confirm_erase_flash_dialog_box.cpp                                 | C++      |         23 |         22 |          9 |         54 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/confirm_erase_flash_dialog_box.h                                   | C++      |          8 |         20 |          5 |         33 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/confirm_start_print_dialog_box.cpp                                 | C++      |         36 |         20 |         11 |         67 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/confirm_start_print_dialog_box.h                                   | C++      |         15 |         20 |          8 |         43 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/confirm_user_request_alert_box.cpp                                 | C++      |         39 |         21 |         10 |         70 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/confirm_user_request_alert_box.h                                   | C++      |         10 |         20 |          5 |         35 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/custom_user_menus.cpp                                              | C++      |        179 |         21 |         12 |        212 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/custom_user_menus.h                                                | C++      |          8 |         21 |          3 |         32 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/default_acceleration_screen.cpp                                    | C++      |         35 |         20 |          8 |         63 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/default_acceleration_screen.h                                      | C++      |          8 |         20 |          5 |         33 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/developer_menu.cpp                                                 | C++      |        113 |         20 |         17 |        150 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/developer_menu.h                                                   | C++      |          8 |         20 |          5 |         33 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/dialog_box_base_class.cpp                                          | C++      |         49 |         20 |         15 |         84 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/dialog_box_base_class.h                                            | C++      |         15 |         20 |          8 |         43 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/display_tuning_screen.cpp                                          | C++      |         33 |         20 |          8 |         61 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/display_tuning_screen.h                                            | C++      |          8 |         20 |          5 |         33 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/endstop_state_screen.cpp                                           | C++      |        107 |         20 |         17 |        144 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/endstop_state_screen.h                                             | C++      |         11 |         20 |          5 |         36 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/feedrate_percent_screen.cpp                                        | C++      |         23 |         20 |          9 |         52 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/feedrate_percent_screen.h                                          | C++      |          8 |         20 |          5 |         33 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/filament_menu.cpp                                                  | C++      |         55 |         20 |         10 |         85 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/filament_menu.h                                                    | C++      |          8 |         20 |          5 |         33 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/filament_runout_screen.cpp                                         | C++      |         35 |         20 |         10 |         65 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/filament_runout_screen.h                                           | C++      |          8 |         20 |          5 |         33 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/files_screen.cpp                                                   | C++      |        233 |         20 |         35 |        288 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/files_screen.h                                                     | C++      |         40 |         20 |          9 |         69 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/flow_percent_screen.cpp                                            | C++      |         23 |         19 |          9 |         51 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/flow_percent_screen.h                                              | C++      |          8 |         19 |          5 |         32 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/interface_settings_screen.cpp                                      | C++      |        222 |         21 |         44 |        287 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/interface_settings_screen.h                                        | C++      |         39 |         20 |          9 |         68 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/interface_sounds_screen.cpp                                        | C++      |         86 |         20 |         20 |        126 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/interface_sounds_screen.h                                          | C++      |         24 |         20 |         12 |         56 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/jerk_screen.cpp                                                    | C++      |         36 |         20 |          9 |         65 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/jerk_screen.h                                                      | C++      |          8 |         20 |          5 |         33 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/junction_deviation_screen.cpp                                      | C++      |         26 |         20 |          8 |         54 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/junction_deviation_screen.h                                        | C++      |          8 |         20 |          5 |         33 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/kill_screen.cpp                                                    | C++      |         23 |         23 |         13 |         59 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/kill_screen.h                                                      | C++      |          7 |         22 |          5 |         34 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/language_menu.cpp                                                  | C++      |         35 |         20 |         12 |         67 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/language_menu.h                                                    | C++      |          8 |         20 |          5 |         33 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/leveling_menu.cpp                                                  | C++      |        110 |         20 |         11 |        141 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/leveling_menu.h                                                    | C++      |          8 |         20 |          5 |         33 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/linear_advance_screen.cpp                                          | C++      |         49 |         20 |          8 |         77 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/linear_advance_screen.h                                            | C++      |          8 |         20 |          5 |         33 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/lock_screen.cpp                                                    | C++      |        141 |         32 |         25 |        198 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/lock_screen.h                                                      | C++      |         24 |         20 |         10 |         54 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/main_menu.cpp                                                      | C++      |         98 |         21 |         12 |        131 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/main_menu.h                                                        | C++      |          8 |         21 |          5 |         34 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/max_acceleration_screen.cpp                                        | C++      |         57 |         20 |          8 |         85 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/max_acceleration_screen.h                                          | C++      |          8 |         20 |          5 |         33 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/max_velocity_screen.cpp                                            | C++      |         61 |         20 |          8 |         89 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/max_velocity_screen.h                                              | C++      |          8 |         20 |          5 |         33 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/media_player_screen.cpp                                            | C++      |         95 |         44 |         29 |        168 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/media_player_screen.h                                              | C++      |         13 |         20 |          8 |         41 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/move_axis_screen.cpp                                               | C++      |         99 |         28 |         17 |        144 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/move_axis_screen.h                                                 | C++      |         22 |         20 |          8 |         50 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/nozzle_offsets_screen.cpp                                          | C++      |         41 |         22 |         10 |         73 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/nozzle_offsets_screen.h                                            | C++      |          9 |         20 |          5 |         34 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/nudge_nozzle_screen.cpp                                            | C++      |         86 |         20 |         19 |        125 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/nudge_nozzle_screen.h                                              | C++      |         19 |         20 |          6 |         45 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/restore_failsafe_dialog_box.cpp                                    | C++      |         21 |         22 |          8 |         51 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/restore_failsafe_dialog_box.h                                      | C++      |          8 |         20 |          5 |         33 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/save_settings_dialog_box.cpp                                       | C++      |         33 |         24 |         11 |         68 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/save_settings_dialog_box.h                                         | C++      |         13 |         20 |          7 |         40 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/screens.h                                                          | C++      |        172 |         27 |         26 |        225 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/spinner_dialog_box.cpp                                             | C++      |         72 |         20 |         17 |        109 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/spinner_dialog_box.h                                               | C++      |         20 |         20 |          9 |         49 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/statistics_screen.cpp                                              | C++      |         44 |         21 |         13 |         78 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/statistics_screen.h                                                | C++      |          8 |         20 |          5 |         33 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/status_screen.cpp                                                  | C++      |        369 |         27 |         71 |        467 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/status_screen.h                                                    | C++      |         23 |         20 |          5 |         48 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/stepper_bump_sensitivity_screen.cpp                                | C++      |         31 |         20 |          8 |         59 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/stepper_bump_sensitivity_screen.h                                  | C++      |          8 |         20 |          5 |         33 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/stepper_current_screen.cpp                                         | C++      |         99 |         20 |          8 |        127 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/stepper_current_screen.h                                           | C++      |          8 |         20 |          5 |         33 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/steps_screen.cpp                                                   | C++      |         58 |         20 |          8 |         86 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/steps_screen.h                                                     | C++      |          8 |         20 |          5 |         33 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/stress_test_screen.cpp                                             | C++      |         98 |         24 |         27 |        149 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/stress_test_screen.h                                               | C++      |         21 |         20 |          8 |         49 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/string_format.cpp                                                  | C++      |         74 |         28 |          9 |        111 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/string_format.h                                                    | C++      |          7 |         19 |          4 |         30 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/temperature_screen.cpp                                             | C++      |         86 |         20 |          8 |        114 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/temperature_screen.h                                               | C++      |          8 |         20 |          5 |         33 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/touch_calibration_screen.cpp                                       | C++      |         50 |         27 |         17 |         94 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/touch_calibration_screen.h                                         | C++      |         10 |         20 |          5 |         35 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/touch_registers_screen.cpp                                         | C++      |         51 |         20 |         14 |         85 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/touch_registers_screen.h                                           | C++      |          8 |         20 |          5 |         33 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/tune_menu.cpp                                                      | C++      |        121 |         20 |         15 |        156 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/tune_menu.h                                                        | C++      |         11 |         20 |          5 |         36 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/widget_demo_screen.cpp                                             | C++      |        121 |         20 |         17 |        158 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/widget_demo_screen.h                                               | C++      |         10 |         20 |          5 |         35 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/z_offset_screen.cpp                                                | C++      |         69 |         27 |         16 |        112 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/generic/z_offset_screen.h                                                  | C++      |         18 |         20 |          6 |         44 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/language/language.cpp                                                      | C++      |          5 |         19 |          4 |         28 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/language/language.h                                                        | C++      |          3 |         19 |          4 |         26 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/language/language_en.h                                                     | C++      |        148 |         19 |         11 |        178 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/pin_mappings.h                                                             | C++      |         41 |         80 |         24 |        145 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/screen_data.h                                                              | C++      |         24 |         38 |          8 |         70 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/screens.cpp                                                                | C++      |         80 |         37 |         10 |        127 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/screens.h                                                                  | C++      |         21 |         20 |         10 |         51 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/theme/bitmaps.h                                                            | C++      |        221 |         20 |         19 |        260 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/theme/bootscreen_logo_portrait.h                                           | C++      |         15 |         21 |          6 |         42 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/theme/colors.h                                                             | C++      |        134 |         30 |         30 |        194 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/theme/fonts.h                                                              | C++      |         57 |         20 |          4 |         81 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/theme/marlin_bootscreen_landscape.h                                        | C++      |         11 |         21 |          7 |         39 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/theme/marlin_bootscreen_portrait.h                                         | C++      |         11 |         21 |          7 |         39 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/theme/sounds.cpp                                                           | C++      |        323 |         21 |         67 |        411 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/theme/sounds.h                                                             | C++      |         19 |         20 |          5 |         44 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/ftdi_eve_touch_ui/theme/theme.h                                                              | C++      |          5 |         20 |          4 |         29 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/malyan/malyan.cpp                                                                            | C++      |        226 |        148 |         48 |        422 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/malyan/malyan.h                                                                              | C++      |         17 |         26 |         11 |         54 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/malyan/malyan_extui.cpp                                                                      | C++      |         88 |         55 |         26 |        169 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/mks_ui/SPIFlashStorage.cpp                                                                   | C++      |        205 |         77 |         40 |        322 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/mks_ui/SPIFlashStorage.h                                                                     | C++      |         30 |         70 |          9 |        109 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/mks_ui/SPI_TFT.cpp                                                                           | C++      |         49 |         22 |         16 |         87 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/mks_ui/SPI_TFT.h                                                                             | C++      |         14 |         21 |          4 |         39 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/mks_ui/draw_about.cpp                                                                        | C++      |         32 |         21 |         13 |         66 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/mks_ui/draw_about.h                                                                          | C++      |          9 |         21 |          4 |         34 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/mks_ui/draw_acceleration_settings.cpp                                                        | C++      |        129 |         21 |         20 |        170 |
| /home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/lcd/extui/mks_ui/draw_acceleration_settings.h                                                          | C++      |          9 |         21 |          4 |         34 |
